case,phase,values,mt
SadHappy,A,12,1
SadHappy,A,14,2
SadHappy,A,16,3
SadHappy,A,12,4
SadHappy,A,15,5
SadHappy,A,17,6
SadHappy,A,18,7
SadHappy,A,12,8
SadHappy,A,13,9
SadHappy,A,14,10
SadHappy,A,14,11
SadHappy,A,14,12
SadHappy,A,23,13
SadHappy,A,13,14
SadHappy,A,14,15
SadHappy,A,12,16
SadHappy,A,13,17
SadHappy,A,15,18
SadHappy,A,12,19
SadHappy,A,13,20
SadHappy,A,14,21
SadHappy,A,15,22
SadHappy,A,10,23
SadHappy,A,10,24
SadHappy,A,10,25
SadHappy,A,10,26
SadHappy,A,13,27
SadHappy,A,12,28
SadHappy,B,30,29
SadHappy,B,37,30
SadHappy,B,44,31
SadHappy,B,35,32
SadHappy,B,36,33
SadHappy,B,27,34
SadHappy,B,37,35
SadHappy,B,39,36
SadHappy,B,40,37
SadHappy,B,40,38
SadHappy,B,40,39
SadHappy,B,45,40
SadHappy,B,37,41
SadHappy,B,38,42
SadHappy,B,45,43
SadHappy,B,47,44
SadHappy,B,36,45
SadHappy,B,30,46
SadHappy,B,40,47
SadHappy,B,42,48
SadHappy,B,43,49
SadHappy,B,45,50
SadHappy,B,46,51
SadHappy,B,40,52
SadHappy,B,37,53
SadHappy,B,47,54
SadHappy,B,48,55
SadHappy,B,44,56
SadHappy,B,45,57
SadHappy,B,46,58
SadHappy,B,37,59
SadHappy,B,40,60
SadHappy,B,38,61
SadHappy,B,45,62
SadHappy,B,46,63
SadHappy,B,44,64
SadHappy,B,44,65
SadHappy,B,45,66
SadHappy,B,50,67
SadHappy,B,49,68
SadHappy,B,45,69
SadHappy,B,39,70
SadHappy,A2,15,71
SadHappy,A2,19,72
SadHappy,A2,18,73
SadHappy,A2,17,74
SadHappy,A2,15,75
SadHappy,A2,13,76
SadHappy,A2,14,77
SadHappy,A2,15,78
SadHappy,A2,20,79
SadHappy,A2,28,80
SadHappy,A2,17,81
SadHappy,A2,16,82
SadHappy,A2,14,83
SadHappy,A2,14,84
SadHappy,A2,14,85
SadHappy,A2,15,86
SadHappy,A2,24,87
SadHappy,A2,14,88
SadHappy,A2,20,89
SadHappy,A2,15,90
SadHappy,A2,16,91
SadHappy,A2,14,92
SadHappy,A2,12,93
SadHappy,A2,12,94
SadHappy,A2,12,95
SadHappy,A2,11,96
SadHappy,A2,18,97
SadHappy,A2,20,98
SadHappy,C,40,99
SadHappy,C,60,100
SadHappy,C,47,101
SadHappy,C,50,102
SadHappy,C,60,103
SadHappy,C,45,104
SadHappy,C,60,105
SadHappy,C,60,106
SadHappy,C,60,107
SadHappy,C,60,108
SadHappy,C,60,109
SadHappy,C,60,110
SadHappy,C,60,111
SadHappy,C,60,112
SadHappy,C,65,113
SadHappy,C,60,114
SadHappy,C,66,115
SadHappy,C,55,116
SadHappy,C,57,117
SadHappy,C,58,118
SadHappy,C,40,119
SadHappy,C,56,120
SadHappy,C,67,121
SadHappy,C,56,122
SadHappy,C,68,123
SadHappy,C,66,124
SadHappy,C,60,125
SadHappy,C,60,126
SadHappy,C,61,127
SadHappy,C,59,128
SadHappy,C,70,129
SadHappy,C,66,130
SadHappy,C,56,131
SadHappy,C,66,132
SadHappy,C,68,133
SadHappy,C,65,134
SadHappy,C,70,135
SadHappy,C,70,136
SadHappy,C,70,137
SadHappy,C,70,138
SadHappy,C,70,139
SadHappy,C,70,140
SadHappy,FU,70,141
SadHappy,FU,68,142
SadHappy,FU,75,143
SadHappy,FU,70,144
SadHappy,FU,55,145
SadHappy,FU,50,146
SadHappy,FU,56,147
SadHappy,FU,67,148
SadHappy,FU,65,149
SadHappy,FU,66,150
SadHappy,FU,65,151
SadHappy,FU,67,152
SadHappy,FU,70,153
SadHappy,FU,70,154
SadHappy,FU,70,155
